_id,play,video_summary,subcategory,subcategory_perspective
6735b7ce7674d968477dd227,https://strgmcmcradar.blob.core.windows.net/videos/7418772016620227857.mp4,"The video showcases a free top indicator for 3D View, specifically the Trail Line with Breakout from Lutz Algo, which automatically detects trendline breakouts and provides entry points for trading.","Technical Analysis Tools, Trendline Breakout Detection, Trading Indicators",Please provide your response in the format specified above.
6735b7d17674d968477dd236,https://strgmcmcradar.blob.core.windows.net/videos/7411057555478301953.mp4,"A man sits at a desk, working on a computer, as a voiceover emphasizes the importance of patience, discipline, confidence, consistency, and emotional control for successful trading.","Trading Psychology, Personal Development, Financial Discipline","None, No Hate Speech, No Discrimination"
6735b7d57674d968477dd253,https://strgmcmcradar.blob.core.windows.net/videos/7370691275156114689.mp4,"A man explains how to open a trading account, directing viewers to a link in his TikTok profile, which leads to the GMI Markets Broker website, where they can sign up and verify their account.","Online Trading, Account Setup, Broker Services","Inciting Violence, Promoting Discrimination, Spreading Misinformation"
673700337674d968477eb9fc,https://strgmcmcradar.blob.core.windows.net/videos/7415654704237006126.mp4,,,
673700337674d968477eb9ff,https://strgmcmcradar.blob.core.windows.net/videos/7398813363276418322.mp4,,,
673700347674d968477eba02,https://strgmcmcradar.blob.core.windows.net/videos/7412845355269672210.mp4,,,
673700357674d968477eba06,https://strgmcmcradar.blob.core.windows.net/videos/7427509590536867080.mp4,,,
6737003c7674d968477eba14,https://strgmcmcradar.blob.core.windows.net/videos/7415494072716086549.mp4,,,
6737003d7674d968477eba17,https://strgmcmcradar.blob.core.windows.net/videos/7374518599521766663.mp4,,,
6737003e7674d968477eba1e,https://strgmcmcradar.blob.core.windows.net/videos/7417416681535884562.mp4,,,
6737003f7674d968477eba21,https://strgmcmcradar.blob.core.windows.net/videos/7421230311008193793.mp4,,,
6737003f7674d968477eba29,https://strgmcmcradar.blob.core.windows.net/videos/7393203136149622023.mp4,,,
